timestamp,event_type,token,raw_log_line
"2026-09-07 17:56:39,730",OTHER,,"2026-09-07 17:56:39,730 INFO ⏱ PRE-ENTRY: Studying Gun momentum... (3 readings, 6s)"
"2026-09-07 17:56:42,828",MOMENTUM_READING,,"2026-09-07 17:56:42,828 INFO   Reading 2: 5m=+75.6% B/S=58/42 (1.38)"
"2026-09-07 17:56:45,850",MOMENTUM_READING,,"2026-09-07 17:56:45,850 INFO   Reading 3: 5m=+75.6% B/S=58/42 (1.38)"
"2026-09-07 17:56:45,851",MOMENTUM_VERIFIED,,"2026-09-07 17:56:45,851 INFO   ✅ Momentum VERIFIED: 52.4→75.6→75.6 — ENTERING"
"2026-09-07 17:56:46,119",POSITION_CAP,,"2026-09-07 17:56:46,119 INFO POSITION CAP: $225 → $100 (0.15% of $66833 liq)"
"2026-09-07 17:56:47,618",SLIPPAGE_CHECK,,"2026-09-07 17:56:47,618 INFO   SLIPPAGE CHECK (V4): fill=$0.00010441 vs market=$0.00012610 = -17.2%"
"2026-09-07 17:56:49,140",HONEYPOT_CHECK,,"2026-09-07 17:56:49,140 WARNING   HONEYPOT CHECK: V4 roundtrip 0.1% — too much tax/fee — SKIP 0xF8641005"
"2026-09-07 17:56:49,140",HONEYPOT_BLOCKED,Gun,"2026-09-07 17:56:49,140 WARNING 🚨 HONEYPOT BLOCKED: Gun — cannot sell, skipping"
"2026-09-07 17:56:49,140",SCAN_IDLE,,"2026-09-07 17:56:49,140 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:56:54,204",SCAN,,"2026-09-07 17:56:54,204 INFO Pumping candidates: 1"
"2026-09-07 17:56:54,204",SCAN_IDLE,,"2026-09-07 17:56:54,204 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:56:59,629",SCAN,,"2026-09-07 17:56:59,629 INFO Pumping candidates: 1"
"2026-09-07 17:56:59,629",SCAN_IDLE,,"2026-09-07 17:56:59,629 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:04,692",SCAN,,"2026-09-07 17:57:04,692 INFO Pumping candidates: 1"
"2026-09-07 17:57:04,692",SCAN_IDLE,,"2026-09-07 17:57:04,692 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:09,751",SCAN,,"2026-09-07 17:57:09,751 INFO Pumping candidates: 1"
"2026-09-07 17:57:09,751",SCAN_IDLE,,"2026-09-07 17:57:09,751 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:14,805",SCAN,,"2026-09-07 17:57:14,805 INFO Pumping candidates: 1"
"2026-09-07 17:57:14,805",SCAN_IDLE,,"2026-09-07 17:57:14,805 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:19,867",SCAN,,"2026-09-07 17:57:19,867 INFO Pumping candidates: 1"
"2026-09-07 17:57:19,867",SCAN_IDLE,,"2026-09-07 17:57:19,867 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:24,928",SCAN,,"2026-09-07 17:57:24,928 INFO Pumping candidates: 1"
"2026-09-07 17:57:24,928",SCAN_IDLE,,"2026-09-07 17:57:24,928 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:30,738",SCAN,,"2026-09-07 17:57:30,738 INFO Pumping candidates: 1"
"2026-09-07 17:57:30,738",SCAN_IDLE,,"2026-09-07 17:57:30,738 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:35,789",SCAN,,"2026-09-07 17:57:35,789 INFO Pumping candidates: 1"
"2026-09-07 17:57:35,789",SCAN_IDLE,,"2026-09-07 17:57:35,789 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:40,845",SCAN,,"2026-09-07 17:57:40,845 INFO Pumping candidates: 1"
"2026-09-07 17:57:40,845",SCAN_IDLE,,"2026-09-07 17:57:40,845 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:45,903",SCAN,,"2026-09-07 17:57:45,903 INFO Pumping candidates: 1"
"2026-09-07 17:57:45,903",SCAN_IDLE,,"2026-09-07 17:57:45,903 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:50,960",SCAN,,"2026-09-07 17:57:50,960 INFO Pumping candidates: 1"
"2026-09-07 17:57:50,960",SCAN_IDLE,,"2026-09-07 17:57:50,960 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:57:56,018",SCAN,,"2026-09-07 17:57:56,018 INFO Pumping candidates: 1"
"2026-09-07 17:57:56,019",SCAN_IDLE,,"2026-09-07 17:57:56,019 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:01,604",SCAN,,"2026-09-07 17:58:01,604 INFO Pumping candidates: 0"
"2026-09-07 17:58:01,604",SCAN_IDLE,,"2026-09-07 17:58:01,604 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:06,659",SCAN,,"2026-09-07 17:58:06,659 INFO Pumping candidates: 0"
"2026-09-07 17:58:06,660",SCAN_IDLE,,"2026-09-07 17:58:06,660 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:11,721",SCAN,,"2026-09-07 17:58:11,721 INFO Pumping candidates: 0"
"2026-09-07 17:58:11,721",SCAN_IDLE,,"2026-09-07 17:58:11,721 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:16,775",SCAN,,"2026-09-07 17:58:16,775 INFO Pumping candidates: 0"
"2026-09-07 17:58:16,775",SCAN_IDLE,,"2026-09-07 17:58:16,775 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:21,830",SCAN,,"2026-09-07 17:58:21,830 INFO Pumping candidates: 0"
"2026-09-07 17:58:21,830",SCAN_IDLE,,"2026-09-07 17:58:21,830 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:26,883",SCAN,,"2026-09-07 17:58:26,883 INFO Pumping candidates: 0"
"2026-09-07 17:58:26,883",SCAN_IDLE,,"2026-09-07 17:58:26,883 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:32,214",SCAN,,"2026-09-07 17:58:32,214 INFO Pumping candidates: 0"
"2026-09-07 17:58:32,214",SCAN_IDLE,,"2026-09-07 17:58:32,214 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:37,287",SCAN,,"2026-09-07 17:58:37,287 INFO Pumping candidates: 0"
"2026-09-07 17:58:37,288",SCAN_IDLE,,"2026-09-07 17:58:37,288 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:42,347",SCAN,,"2026-09-07 17:58:42,347 INFO Pumping candidates: 0"
"2026-09-07 17:58:42,348",SCAN_IDLE,,"2026-09-07 17:58:42,348 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:47,404",SCAN,,"2026-09-07 17:58:47,404 INFO Pumping candidates: 0"
"2026-09-07 17:58:47,404",SCAN_IDLE,,"2026-09-07 17:58:47,404 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:52,463",SCAN,,"2026-09-07 17:58:52,463 INFO Pumping candidates: 0"
"2026-09-07 17:58:52,463",SCAN_IDLE,,"2026-09-07 17:58:52,463 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:58:57,680",SCAN,,"2026-09-07 17:58:57,680 INFO Pumping candidates: 0"
"2026-09-07 17:58:57,680",SCAN_IDLE,,"2026-09-07 17:58:57,680 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:03,030",SCAN,,"2026-09-07 17:59:03,030 INFO Pumping candidates: 0"
"2026-09-07 17:59:03,030",SCAN_IDLE,,"2026-09-07 17:59:03,030 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:59:08,088",SCAN,,"2026-09-07 17:59:08,088 INFO Pumping candidates: 0"
